unique_id,x,y
301,83.8671756,27.46832541
302,83.97968485,27.47081349
303,84.09220829,27.47321085
304,84.20474539,27.47551746
305,84.31729562,27.47773327
306,84.42985847,27.47985823
307,84.5424334,27.48189233
308,84.65501989,27.4838355
309,84.7676174,27.48568774
310,84.88022542,27.48744899
311,84.9928434,27.48911924
312,85.10547083,27.49069844
313,85.21810718,27.49218658
314,85.33075191,27.49358362
315,85.4434045,27.49488955
316,85.55606441,27.49610433
317,85.66873113,27.49722796
318,85.78140411,27.4982604
319,85.89408283,27.49920163
320,86.00676675,27.50005166
321,86.11945536,27.50081044
322,86.23214811,27.50147799
323,86.34484448,27.50205427
324,86.45754393,27.50253929
325,86.57024594,27.50293303
326,86.68294997,27.50323549
327,86.7956555,27.50344665
328,86.90836199,27.50356653
329,87.02106891,27.50359511
330,87.13377573,27.5035324
331,87.24648193,27.50337839
332,87.35918696,27.50313309
333,87.4718903,27.5027965
334,87.58459141,27.50236864
335,87.69728978,27.5018495
336,87.80998485,27.50123909
337,87.92267612,27.50053743
338,88.03536303,27.49974453
339,82.73911587,27.53868622
340,82.85155563,27.54209326
341,82.9640149,27.54540971
342,83.07649313,27.5486355
343,83.18898981,27.55177059
344,83.30150442,27.55481492
345,83.41403643,27.55776844
346,83.52658532,27.56063108
347,83.63915056,27.56340281
348,83.75173162,27.56608358
349,83.86432798,27.56867333
350,83.97693911,27.57117202
351,84.08956449,27.57357961
352,84.20220358,27.57589605
353,84.31485585,27.57812131
354,84.42752079,27.58025534
355,84.54019785,27.5822981
356,84.65288652,27.58424957
357,84.76558626,27.5861097
358,84.87829654,27.58787847
359,84.99101683,27.58955584
360,85.1037466,27.59114178
361,85.21648532,27.59263627
362,85.32923246,27.59403927
363,85.44198748,27.59535077
364,85.55474987,27.59657074
365,85.66751907,27.59769915
366,85.78029457,27.59873599
367,85.89307583,27.59968125
368,86.00586232,27.6005349
369,86.1186535,27.60129692
370,86.23144885,27.60196731
371,86.34424783,27.60254606
372,86.4570499,27.60303314
373,86.56985454,27.60342856
374,86.68266122,27.60373231
375,86.79546939,27.60394438
376,86.90827853,27.60406477
377,87.0210881,27.60409347
378,87.13389757,27.60403049
379,87.24670641,27.60387582
380,87.35951409,27.60362948
381,87.47232006,27.60329146
382,87.58512381,27.60286176
383,87.69792479,27.60234041
384,87.81072247,27.6017274
385,87.92351632,27.60102275
386,88.03630581,27.60022647
387,88.14909041,27.59933857
388,82.3977311,27.6280951
389,82.51021074,27.63178918
390,82.73523293,27.63890491
391,82.84777443,27.64232643
392,82.9603355,27.64565697
393,83.07291562,27.64889649
394,83.18551427,27.65204491
395,83.29813091,27.65510218
396,83.41076502,27.65806826
397,83.52341607,27.66094308
398,83.63608354,27.66372659
399,83.74876689,27.66641876
400,83.8614656,27.66901953
401,83.97417913,27.67152885
402,84.08690697,27.67394667
403,84.19964858,27.67627297
404,84.31240342,27.67850769
405,84.42517098,27.6806508
406,84.53795071,27.68270226
407,84.65074208,27.68466203
408,84.76354457,27.68653008
409,84.87635765,27.68830637
410,84.98918077,27.68999088
411,85.10201341,27.69158357
412,85.21485504,27.69308441
413,85.32770512,27.69449339
414,85.44056311,27.69581046
415,85.5534285,27.69703562
416,85.66630073,27.69816884
417,85.77917928,27.6992101
418,85.89206361,27.70015937
419,86.00495319,27.70101665
420,86.11784749,27.70178192
421,86.23074596,27.70245517
422,86.34364808,27.70303637
423,86.45655331,27.70352553
424,86.56946112,27.70392264
425,86.68237096,27.70422768
426,86.79528231,27.70444065
427,86.90819463,27.70456155
428,87.02110739,27.70459037
429,87.13402005,27.70452712
430,87.24693207,27.7043718
431,87.35984292,27.70412441
432,87.47275206,27.70378495
433,87.58565897,27.70335342
434,87.6985631,27.70282985
435,87.81146392,27.70221423
436,87.92436089,27.70150658
437,88.03725349,27.70070691
438,88.15014117,27.69981523
439,82.28096184,27.72446514
440,82.39352175,27.72826599
441,82.50610341,27.73197574
442,82.61870629,27.73559431
443,82.73132988,27.73912164
444,82.84397365,27.74255767
445,82.95663706,27.74590234
446,83.0693196,27.74915559
447,83.18202073,27.75231737
448,83.29473993,27.75538761
449,83.40747666,27.75836626
450,83.5202304,27.76125328
451,83.63300063,27.76404861
452,83.7457868,27.7667522
453,83.85858838,27.769364
454,83.97140486,27.77188396
455,84.08423569,27.77431205
456,84.19708034,27.77664822
457,84.30993828,27.77889242
458,84.42280898,27.78104463
459,84.53569191,27.78310479
460,84.64858653,27.78507288
461,84.76149231,27.78694886
462,84.87440871,27.78873269
463,84.9873352,27.79042435
464,85.10027124,27.7920238
465,85.21321631,27.79353101
466,85.32616986,27.79494597
467,85.43913136,27.79626864
468,85.55210027,27.79749899
469,85.66507607,27.79863702
470,85.7780582,27.7996827
471,85.89104614,27.80063601
472,86.00403935,27.80149693
473,86.11703729,27.80226544
474,86.23003943,27.80294155
475,86.34304522,27.80352522
